,car_name,brand,model,vehicle_age,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price,log_km_driven
0,61,16,7,9,1,3,1,19.7,796,46.3,5,120000,16.872674880270605
1,32,6,51,5,1,3,1,18.9,1197,82.0,5,550000,14.287712379549449
2,38,6,113,11,1,3,1,17.0,1197,80.0,5,215000,15.872674880270605
3,61,16,7,9,1,3,1,20.92,998,67.1,5,226000,15.175237650291036
4,18,4,37,6,0,1,1,22.77,1498,98.59,5,570000,14.872674880270605
5,75,16,96,8,1,3,1,18.9,998,67.1,5,350000,15.095067301607054
6,37,6,112,8,0,3,1,20.36,1197,78.9,5,315000,15.287712379549449
7,75,16,96,3,0,3,1,20.51,998,67.04,5,410000,14.096056239180946
8,72,16,84,4,0,3,1,16.6,1197,85.0,5,511000,14.78958458669247
9,36,6,93,8,0,1,1,22.32,1582,126.32,5,425000,15.994309235966044
10,64,16,24,5,0,1,1,28.09,1248,88.5,5,650000,16.213711798105674
11,72,16,84,5,1,1,1,25.2,1248,74.0,5,627000,14.287712379549449
12,72,16,84,7,0,1,1,28.4,1248,74.0,5,425000,15.924626959905327
13,108,26,57,8,1,1,1,12.99,2494,100.6,8,605000,16.747143998186747
14,62,16,13,6,1,3,1,21.4,1197,83.1,5,600000,14.287712379549449
15,73,16,85,5,1,3,1,20.85,1197,83.14,5,575000,15.287712379549449
16,111,27,91,8,0,3,1,16.09,1598,103.2,5,425000,15.520373136339725
17,61,16,7,8,0,3,1,20.92,998,67.1,5,230000,14.609640474436812
18,30,6,29,2,1,1,1,19.67,1582,126.2,5,1225000,13.872674880270605
19,25,5,25,6,1,3,1,17.4,1497,117.3,5,750000,15.609640474436812
20,73,16,85,6,1,1,1,26.59,1248,74.0,5,600000,16.457637380991763
21,73,16,85,8,0,1,1,26.59,1248,74.0,5,390000,15.45763738099176
22,25,5,25,14,0,3,1,17.7,1497,78.0,5,145000,16.237303338470465
23,38,6,113,3,1,3,1,17.19,1197,81.86,5,700000,14.609640474436812
24,93,23,61,4,1,3,1,23.01,999,67.0,5,340000,14.872674880270605
