,car_name,brand,model,vehicle_age,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price,log_km_driven
0,Maruti Alto,Maruti,Alto,9,Individual,Petrol,Manual,19.7,796,46.3,5,120000,16.872674880270605
1,Hyundai Grand,Hyundai,Grand,5,Individual,Petrol,Manual,18.9,1197,82.0,5,550000,14.287712379549449
2,Hyundai i20,Hyundai,i20,11,Individual,Petrol,Manual,17.0,1197,80.0,5,215000,15.872674880270605
3,Maruti Alto,Maruti,Alto,9,Individual,Petrol,Manual,20.92,998,67.1,5,226000,15.175237650291036
4,Ford Ecosport,Ford,Ecosport,6,Dealer,Diesel,Manual,22.77,1498,98.59,5,570000,14.872674880270605
5,Maruti Wagon R,Maruti,Wagon R,8,Individual,Petrol,Manual,18.9,998,67.1,5,350000,15.095067301607054
6,Hyundai i10,Hyundai,i10,8,Dealer,Petrol,Manual,20.36,1197,78.9,5,315000,15.287712379549449
7,Maruti Wagon R,Maruti,Wagon R,3,Dealer,Petrol,Manual,20.51,998,67.04,5,410000,14.096056239180946
8,Maruti Swift,Maruti,Swift,4,Dealer,Petrol,Manual,16.6,1197,85.0,5,511000,14.78958458669247
9,Hyundai Verna,Hyundai,Verna,8,Dealer,Diesel,Manual,22.32,1582,126.32,5,425000,15.994309235966044
10,Maruti Ciaz,Maruti,Ciaz,5,Dealer,Diesel,Manual,28.09,1248,88.5,5,650000,16.213711798105674
11,Maruti Swift,Maruti,Swift,5,Individual,Diesel,Manual,25.2,1248,74.0,5,627000,14.287712379549449
12,Maruti Swift,Maruti,Swift,7,Dealer,Diesel,Manual,28.4,1248,74.0,5,425000,15.924626959905327
13,Toyota Innova,Toyota,Innova,8,Individual,Diesel,Manual,12.99,2494,100.6,8,605000,16.747143998186747
14,Maruti Baleno,Maruti,Baleno,6,Individual,Petrol,Manual,21.4,1197,83.1,5,600000,14.287712379549449
15,Maruti Swift Dzire,Maruti,Swift Dzire,5,Individual,Petrol,Manual,20.85,1197,83.14,5,575000,15.287712379549449
16,Volkswagen Vento,Volkswagen,Vento,8,Dealer,Petrol,Manual,16.09,1598,103.2,5,425000,15.520373136339725
17,Maruti Alto,Maruti,Alto,8,Dealer,Petrol,Manual,20.92,998,67.1,5,230000,14.609640474436812
18,Hyundai Creta,Hyundai,Creta,2,Individual,Diesel,Manual,19.67,1582,126.2,5,1225000,13.872674880270605
19,Honda City,Honda,City,6,Individual,Petrol,Manual,17.4,1497,117.3,5,750000,15.609640474436812
20,Maruti Swift Dzire,Maruti,Swift Dzire,6,Individual,Diesel,Manual,26.59,1248,74.0,5,600000,16.457637380991763
21,Maruti Swift Dzire,Maruti,Swift Dzire,8,Dealer,Diesel,Manual,26.59,1248,74.0,5,390000,15.45763738099176
22,Honda City,Honda,City,14,Dealer,Petrol,Manual,17.7,1497,78.0,5,145000,16.237303338470465
23,Hyundai i20,Hyundai,i20,3,Individual,Petrol,Manual,17.19,1197,81.86,5,700000,14.609640474436812
24,Renault KWID,Renault,KWID,4,Individual,Petrol,Manual,23.01,999,67.0,5,340000,14.872674880270605
25,Honda Amaze,Honda,Amaze,5,Dealer,Petrol,Manual,18.6,1199,88.76,5,465000,15.287459885823449
26,Mahindra XUV500,Mahindra,XUV500,9,Individual,Diesel,Manual,15.1,2179,140.0,7,600000,17.4971657451784
27,Maruti Swift Dzire,Maruti,Swift Dzire,8,Individual,Diesel,Manual,23.4,1248,74.0,5,380000,16.457637380991763
28,Hyundai i20,Hyundai,i20,3,Individual,Diesel,Manual,22.54,1396,88.73,5,850000,13.872674880270605
29,Hyundai i20,Hyundai,i20,3,Individual,Petrol,Manual,18.6,1197,81.83,5,598000,15.287712379549449
30,Honda City,Honda,City,6,Dealer,Petrol,Automatic,18.0,1497,117.3,5,700000,14.928333307585147
31,Maruti Swift Dzire,Maruti,Swift Dzire,7,Dealer,Diesel,Manual,23.4,1248,74.0,5,410000,15.77313920671969
32,Maruti Baleno,Maruti,Baleno,5,Dealer,Petrol,Automatic,21.4,1197,83.1,5,590000,15.678022373258914
33,Maruti Baleno,Maruti,Baleno,5,Dealer,Petrol,Manual,15.4,1590,94.0,5,625000,14.425215903299383
34,Maruti Swift Dzire,Maruti,Swift Dzire,5,Individual,Petrol,Manual,20.85,1197,83.14,5,600000,15.720671786825555
35,Maruti Wagon R,Maruti,Wagon R,2,Individual,Petrol,Manual,20.51,998,67.04,5,445000,13.287712379549449
36,Hyundai Verna,Hyundai,Verna,7,Individual,Diesel,Manual,22.32,1582,126.3,5,520000,16.747143998186747
37,Hyundai i20,Hyundai,i20,5,Individual,Diesel,Manual,22.54,1396,88.73,5,750000,16.095067301607052
38,Maruti Swift Dzire,Maruti,Swift Dzire,4,Individual,Diesel,Manual,26.59,1248,74.0,5,560000,16.095067301607052
