n_estimators,max_depth,min_samples_split,max_features,n_jobs,r2_score,mae,training_time,avg_inference_time
20,10,10,3,-1,0.7193007988319051,90631.85511421414,40.47391080856323,0.0010218493877465623
50,10,10,3,-1,0.7266266413252171,90160.65856930452,100.11430621147156,0.003001940971750508
70,10,10,3,-1,0.7274822129960778,89217.47313181635,132.8878812789917,0.004218672486446235
100,10,5,5,-1,0.6774183900132702,94591.88124068451,322.1537389755249,0.004641413763026037
100,10,5,4,-1,0.7097472655964026,91161.18127463742,348.73918437957764,0.004477030176411401
100,10,15,4,-1,0.7181484631190258,90279.18184118347,344.2121756076813,0.005850112222539434
100,10,15,3,-1,0.7402185644372508,86278.6347476794,291.5729990005493,0.006036269984539791
100,10,15,2,-1,0.754353007395229,85948.79461784492,194.8809781074524,0.0068689496236076526
100,10,15,1,-1,0.6861488438847989,102083.82437659957,62.05406379699707,0.0034737140776883494
100,5,20,2,-1,0.7281728649739913,92222.29825498302,67.98504424095154,0.0034095613345159863
100,20,15,3,-1,0.7213274265820313,90332.63774601973,314.0590467453003,0.0063494923556512844
50,10,10,3,-1,0.723517462594699,90162.98450719976,91.88991284370422,0.0026697041612078975
100,10,20,2,-1,0.7481431998842574,87112.55713276661,112.39476108551025,0.005129786781125417
100,10,10,2,-1,0.7436821467068593,88581.92691840597,120.8669855594635,0.005259059179000236
100,10,15,2,-1,0.7558310674953259,86389.15809595968,121.15717315673828,0.006262123621930499
